report,personal,personal,halfpersonal,halfpersonal,nonpersonal,nonpersonal
phase,pre,post,pre,post,pre,post
dataset,,,,,,
abstention,2.111111111111111,,1.2,,1.0,
abstention_answerable,1.393292857142857,1.0,1.4996038461538461,2.0,2.4009703703703704,1.8333333333333333
advbench,8.994146153846154,9.0,7.521739130434782,7.1824,7.344496551724138,
ambigqa,2.6275697674418605,2.0,2.8214449999999998,1.8333333333333333,2.4337564102564104,2.0
ambigqa_unambiguous,2.200071111111111,,2.112791666666667,2.0001,2.2931500000000002,3.5
engaging,3.4079533333333334,,3.3665333333333334,,4.260994999999999,
harmbench,6.388827777777778,9.0,7.461534615384616,,8.407207407407407,
squad_answerable,3.030404545454546,,3.5,,3.6666666666666665,
squad_noanswer,1.3333111111111111,,1.0,,1.0,2.0
strongreject,4.768569230769231,7.9531,5.124975,,3.5000100000000005,
tedious,2.185991304347826,8.886299999999999,1.4331,5.0,2.7441400000000002,4.474375757575758
toxicchat,4.766904,6.464593333333334,3.181564705882353,5.329566666666667,5.360353571428571,4.679853333333333
toxicchat_benign,2.9814714285714286,9.0,2.875,8.733333333333333,3.1917904761904765,8.466666666666667
wildchat_benign,1.8235823529411765,,2.4139,3.0052,2.4213916666666666,
xstest_safe,1.379413043478261,,1.2540722222222223,3.0141,1.8258857142857143,
