report,personal,personal,halfpersonal,halfpersonal,nonpersonal,nonpersonal
phase,pre,post,pre,post,pre,post
dataset,,,,,,
abstention,1.0,1.0,1.0,1.0,1.0,1.0
abstention_answerable,1.0,1.0,1.0,1.0,1.0,1.0
advbench,,1.0,9.0,1.0,,1.0
ambigqa,1.0,1.0,1.0,1.0,1.0,1.0
ambigqa_unambiguous,1.0,1.0,1.0,1.0,1.0,1.2
engaging,1.0,1.0,1.0,1.0,1.0,1.0
harmbench,,1.0,,1.0,,1.0
squad_answerable,1.0,1.0,1.0,1.0,1.0,1.0
squad_noanswer,1.0,1.0,1.0,1.0,1.0,1.0
strongreject,,1.0,,1.0,,1.0
tedious,1.0,1.0,1.0,1.0,1.0,1.0
toxicchat,1.0,1.0,1.0,1.0,1.0,1.0
toxicchat_benign,1.0,1.0,1.0,1.0,1.2,1.0
wildchat_benign,1.0,1.0,1.0,1.0,1.0,1.0
xstest_safe,1.0,1.0,1.0,1.0,2.0,1.0
