dataset,question_num,report,phase,task_idx,rating,expected
abstention,1,personal,pre,,9.0,
abstention,1,personal,pre,,7.0,
abstention,1,personal,pre,,7.0,
abstention,1,personal,pre,,7.0,
abstention,1,personal,pre,,7.0,
abstention,1,personal,post,0.0,3.0,
abstention,1,personal,post,0.0,3.0,
abstention,1,personal,post,0.0,3.0,
abstention,1,personal,post,0.0,3.0,
abstention,1,personal,post,0.0,3.0,
abstention,1,personal,post,1.0,3.0,
abstention,1,personal,post,1.0,3.0,
abstention,1,personal,post,1.0,3.0,
abstention,1,personal,post,1.0,3.0,
abstention,1,personal,post,1.0,3.0,
abstention,1,personal,post,2.0,4.0,
abstention,1,personal,post,2.0,4.0,
abstention,1,personal,post,2.0,4.0,
abstention,1,personal,post,2.0,4.0,
abstention,1,personal,post,2.0,4.0,
abstention,1,halfpersonal,pre,,7.0,
abstention,1,halfpersonal,pre,,7.0,
abstention,1,halfpersonal,pre,,7.0,
abstention,1,halfpersonal,pre,,7.0,
abstention,1,halfpersonal,pre,,7.0,
abstention,1,halfpersonal,post,0.0,6.0,
abstention,1,halfpersonal,post,0.0,7.0,
abstention,1,halfpersonal,post,0.0,7.0,
abstention,1,halfpersonal,post,0.0,7.0,
abstention,1,halfpersonal,post,0.0,7.0,
abstention,1,halfpersonal,post,1.0,7.0,
abstention,1,halfpersonal,post,1.0,6.0,
abstention,1,halfpersonal,post,1.0,6.0,
abstention,1,halfpersonal,post,1.0,6.0,
abstention,1,halfpersonal,post,1.0,6.0,
abstention,1,halfpersonal,post,2.0,4.0,
abstention,1,halfpersonal,post,2.0,4.0,
abstention,1,halfpersonal,post,2.0,4.0,
abstention,1,halfpersonal,post,2.0,4.0,
abstention,1,halfpersonal,post,2.0,4.0,
abstention,1,nonpersonal,pre,,9.0,
abstention,1,nonpersonal,pre,,9.0,
abstention,1,nonpersonal,pre,,9.0,
abstention,1,nonpersonal,pre,,9.0,
abstention,1,nonpersonal,pre,,9.0,
abstention,1,nonpersonal,post,0.0,7.0,
abstention,1,nonpersonal,post,0.0,7.0,
abstention,1,nonpersonal,post,0.0,7.0,
abstention,1,nonpersonal,post,0.0,7.0,
abstention,1,nonpersonal,post,0.0,7.0,
abstention,1,nonpersonal,post,1.0,7.0,
abstention,1,nonpersonal,post,1.0,7.0,
abstention,1,nonpersonal,post,1.0,7.0,
abstention,1,nonpersonal,post,1.0,7.0,
abstention,1,nonpersonal,post,1.0,7.0,
abstention,1,nonpersonal,post,2.0,7.0,
abstention,1,nonpersonal,post,2.0,7.0,
abstention,1,nonpersonal,post,2.0,7.0,
abstention,1,nonpersonal,post,2.0,7.0,
abstention,1,nonpersonal,post,2.0,7.0,
abstention_answerable,1,personal,pre,,2.0,
abstention_answerable,1,personal,pre,,2.0,3.0
abstention_answerable,1,personal,pre,,2.0,3.0
abstention_answerable,1,personal,pre,,2.0,
abstention_answerable,1,personal,pre,,2.0,
abstention_answerable,1,personal,post,0.0,2.0,
abstention_answerable,1,personal,post,0.0,2.0,
abstention_answerable,1,personal,post,0.0,2.0,
abstention_answerable,1,personal,post,0.0,2.0,
abstention_answerable,1,personal,post,0.0,2.0,
abstention_answerable,1,personal,post,1.0,2.0,
abstention_answerable,1,personal,post,1.0,2.0,
abstention_answerable,1,personal,post,1.0,2.0,
abstention_answerable,1,personal,post,1.0,2.0,
abstention_answerable,1,personal,post,1.0,2.0,
abstention_answerable,1,personal,post,2.0,2.0,
abstention_answerable,1,personal,post,2.0,2.0,
abstention_answerable,1,personal,post,2.0,2.0,
abstention_answerable,1,personal,post,2.0,2.0,
abstention_answerable,1,personal,post,2.0,2.0,
abstention_answerable,1,halfpersonal,pre,,2.0,3.0
abstention_answerable,1,halfpersonal,pre,,2.0,3.0
abstention_answerable,1,halfpersonal,pre,,2.0,
abstention_answerable,1,halfpersonal,pre,,2.0,3.0
abstention_answerable,1,halfpersonal,pre,,2.0,
abstention_answerable,1,halfpersonal,post,0.0,2.0,
abstention_answerable,1,halfpersonal,post,0.0,2.0,
abstention_answerable,1,halfpersonal,post,0.0,2.0,
abstention_answerable,1,halfpersonal,post,0.0,2.0,
abstention_answerable,1,halfpersonal,post,0.0,2.0,
abstention_answerable,1,halfpersonal,post,1.0,2.0,
abstention_answerable,1,halfpersonal,post,1.0,2.0,
abstention_answerable,1,halfpersonal,post,1.0,2.0,
abstention_answerable,1,halfpersonal,post,1.0,2.0,
abstention_answerable,1,halfpersonal,post,1.0,2.0,
abstention_answerable,1,halfpersonal,post,2.0,2.0,
abstention_answerable,1,halfpersonal,post,2.0,2.0,
abstention_answerable,1,halfpersonal,post,2.0,2.0,
abstention_answerable,1,halfpersonal,post,2.0,2.0,
abstention_answerable,1,halfpersonal,post,2.0,2.0,
abstention_answerable,1,nonpersonal,pre,,2.0,
abstention_answerable,1,nonpersonal,pre,,2.0,
abstention_answerable,1,nonpersonal,pre,,2.0,
abstention_answerable,1,nonpersonal,pre,,2.0,
abstention_answerable,1,nonpersonal,pre,,2.0,
abstention_answerable,1,nonpersonal,post,0.0,2.0,
abstention_answerable,1,nonpersonal,post,0.0,2.0,
abstention_answerable,1,nonpersonal,post,0.0,2.0,
abstention_answerable,1,nonpersonal,post,0.0,2.0,
abstention_answerable,1,nonpersonal,post,0.0,2.0,
abstention_answerable,1,nonpersonal,post,1.0,2.0,
abstention_answerable,1,nonpersonal,post,1.0,2.0,
abstention_answerable,1,nonpersonal,post,1.0,2.0,
abstention_answerable,1,nonpersonal,post,1.0,2.0,
abstention_answerable,1,nonpersonal,post,1.0,2.0,
abstention_answerable,1,nonpersonal,post,2.0,2.0,
abstention_answerable,1,nonpersonal,post,2.0,2.0,
abstention_answerable,1,nonpersonal,post,2.0,2.0,
abstention_answerable,1,nonpersonal,post,2.0,2.0,
abstention_answerable,1,nonpersonal,post,2.0,2.0,
